nvpmodel_mode,execution,power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,idle_power_w,mem_bw_gbs,gflops_fp32,gflops_fp16,gflops_bf16,gflops_int8,gflops_fp8,c2g_bw_gbs,g2c_bw_gbs,g2g_bw_gbs
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,2.365,90.49212380857563,2121.6275061811957,83097.46557325782,76252.93078484821,119205.22663800776,161339.23085646596,112.43611004434132,117.14511594666969,
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,8.279,222.92215331501484,3150.2303644586436,115384.46007106903,115364.39230643593,132020.61615196132,228263.26186646483,104.72394606371823,98.88628959904833,
3,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,5.519,211.8310613149738,1741.801225364892,76219.77720107931,73164.29548908415,115771.05718141174,159798.16894814637,70.93943006289015,65.29463938609075,
3,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,9.067,225.95333652914064,2867.943594164536,99447.24269347517,101082.96800736917,131251.9467176773,229838.71277851283,106.04755296351955,122.43917711395362,
