power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,model_name,backend,num_views,image_resolution,precision,prompt_len,model_dir,num_steps,chunk_size,use_cuda_graph,num_sample_steps,use_torch_compile,batch_size,stage,num_params,flops,mem_fp_weight_gb,lat_mean,lat_std,energy_mean,energy_std,mem_fp_activation_gb_mean,mem_fp_activation_gb_std
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,embed,,,,11.547887849155813,0.5391639172497428,0.9329407408679836,0.02704334335459856,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,embed,,,,18.280896765645593,0.16443908842392452,1.984692816708464,0.8477627925193405,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,embed,,,,33.31804174231365,0.30747984770965203,9.454257211033966,2.388812687679094,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,embed,,,,52.022131672129035,0.3409870611302235,21.784028021158953,0.8075894953665774,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,encode,,,,32.266439602244645,0.11662358072716628,14.076144345987956,0.10523383169561794,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,encode,,,,66.93018061341718,0.4310010923328748,29.628820779271827,0.32102478550907326,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,encode,,,,134.32729397900403,0.6641713074277671,59.987160914600665,0.714640704523168,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,encode,,,,279.9265120411292,0.5335023885436871,125.30796680621839,0.5277313315120391,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,decode,,,,2.842053398489952,0.09207220542920254,1.2726231969360264,0.04122836836370462,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,decode,,,,4.345311154611409,0.12692447298875587,1.9287668093958519,0.04952220264862616,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,decode,,,,6.229633546900004,0.19892031820798697,2.4817115753456487,0.0792442850051522,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,decode,,,,10.13498498359695,0.18574876562065584,3.6857663277940476,0.38351839494628037,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,openpi,1,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,16,decode,,,,17.973633878864348,0.16261083250019662,5.495085176417836,0.28960648765795083,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,embed,,,,4.69079582253471,0.006679033425804743,0.4144881004708121,0.0005901727515709556,nan,nan
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,encode,,,,20.02156254602596,0.087674140673592,3.7605796303725105,0.7070563519977315,nan,nan
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,decode,,,,1.2577228946611285,0.010034846136448755,0.25413800354101695,0.0020276610800231123,nan,nan
