power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,idle_power_w,mem_bw_gbs,gflops_fp32,gflops_fp16,gflops_bf16,gflops_int8,gflops_fp8,c2g_bw_gbs,g2c_bw_gbs,g2g_bw_gbs
1.0,0.2,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,69.081,892.3321427590613,11469.893473889853,35395.96283115132,35598.252837574524,35198.195232597245,64695.71452443519,13.32956156139013,13.170958477574253,
1.0,0.4,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,69.547,895.0570116435568,25101.049999244184,69394.46619214752,69876.32009044824,69006.57351707241,124055.80116168705,13.330490110496857,13.176731152533689,
1.0,0.6,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,79.324,892.349961692784,35623.17808501963,97131.37572682126,86224.71965573927,85296.17712604515,152390.2463247708,13.32917185836663,13.161507405650486,
1.0,0.8,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,79.324,887.3260165437515,48416.88303023906,131767.77544029136,112793.25122762761,111518.4025673078,195765.24902349015,13.34180892445232,13.162639899582096,
1.0,1.0,NVIDIA GeForce RTX 4090,128,25.252724736,450.0,68.903,917.5473130959764,53343.7554883736,166216.0087845082,172021.9935478926,166159.6019366149,307083.37617793586,13.326960561930827,13.180369068404916,
